drug,event,count,ror,ror_ci_lower,ror_ci_upper,prr,chi2,signal_flagged,rationale
PREDNISONE,Hypereosinophilic syndrome,8,9.14,4.42,18.91,9.14,52.75,True,"PREDNISONE was reported with 'Hypereosinophilic syndrome' in 8 cases. This combination occurs 9.14x more often than expected (95% CI: 4.42-18.91, entirely above 1, meaning the result is statistically significant). PRR=9.14 (≥2 threshold met), chi2=52.75 (≥4 threshold met)."
PREDNISONE,Disseminated aspergillosis,10,7.56,3.97,14.4,7.56,52.55,True,"PREDNISONE was reported with 'Disseminated aspergillosis' in 10 cases. This combination occurs 7.56x more often than expected (95% CI: 3.97-14.4, entirely above 1, meaning the result is statistically significant). PRR=7.56 (≥2 threshold met), chi2=52.55 (≥4 threshold met)."
RITUXIMAB,Subcutaneous emphysema,9,8.07,4.12,15.82,8.07,52.54,True,"RITUXIMAB was reported with 'Subcutaneous emphysema' in 9 cases. This combination occurs 8.07x more often than expected (95% CI: 4.12-15.82, entirely above 1, meaning the result is statistically significant). PRR=8.07 (≥2 threshold met), chi2=52.54 (≥4 threshold met)."
METHOTREXATE,Burkitt's lymphoma recurrent,5,13.38,5.36,33.43,13.38,52.51,True,"METHOTREXATE was reported with 'Burkitt's lymphoma recurrent' in 5 cases. This combination occurs 13.38x more often than expected (95% CI: 5.36-33.43, entirely above 1, meaning the result is statistically significant). PRR=13.38 (≥2 threshold met), chi2=52.51 (≥4 threshold met)."
RITUXIMAB,Mucosal haemorrhage,7,9.92,4.6,21.39,9.92,52.23,True,"RITUXIMAB was reported with 'Mucosal haemorrhage' in 7 cases. This combination occurs 9.92x more often than expected (95% CI: 4.6-21.39, entirely above 1, meaning the result is statistically significant). PRR=9.92 (≥2 threshold met), chi2=52.23 (≥4 threshold met)."
TYMLOS,Tension headache,21,4.31,2.8,6.64,4.31,52.21,True,"TYMLOS was reported with 'Tension headache' in 21 cases. This combination occurs 4.31x more often than expected (95% CI: 2.8-6.64, entirely above 1, meaning the result is statistically significant). PRR=4.31 (≥2 threshold met), chi2=52.21 (≥4 threshold met)."
RITUXIMAB,Immune system disorder,33,3.32,2.35,4.69,3.32,52.07,True,"RITUXIMAB was reported with 'Immune system disorder' in 33 cases. This combination occurs 3.32x more often than expected (95% CI: 2.35-4.69, entirely above 1, meaning the result is statistically significant). PRR=3.32 (≥2 threshold met), chi2=52.07 (≥4 threshold met)."
DUPIXENT,Facial discomfort,13,6.09,3.48,10.66,6.09,52.04,True,"DUPIXENT was reported with 'Facial discomfort' in 13 cases. This combination occurs 6.09x more often than expected (95% CI: 3.48-10.66, entirely above 1, meaning the result is statistically significant). PRR=6.09 (≥2 threshold met), chi2=52.04 (≥4 threshold met)."
ASPIRIN,Poor feeding infant,5,13.1,5.28,32.5,13.1,51.98,True,"ASPIRIN was reported with 'Poor feeding infant' in 5 cases. This combination occurs 13.1x more often than expected (95% CI: 5.28-32.5, entirely above 1, meaning the result is statistically significant). PRR=13.1 (≥2 threshold met), chi2=51.98 (≥4 threshold met)."
ASPIRIN,Cerebral haemorrhage,34,3.23,2.3,4.54,3.23,51.48,True,"ASPIRIN was reported with 'Cerebral haemorrhage' in 34 cases. This combination occurs 3.23x more often than expected (95% CI: 2.3-4.54, entirely above 1, meaning the result is statistically significant). PRR=3.23 (≥2 threshold met), chi2=51.48 (≥4 threshold met)."
RITUXIMAB,Rebound effect,26,3.77,2.55,5.57,3.77,51.46,True,"RITUXIMAB was reported with 'Rebound effect' in 26 cases. This combination occurs 3.77x more often than expected (95% CI: 2.55-5.57, entirely above 1, meaning the result is statistically significant). PRR=3.77 (≥2 threshold met), chi2=51.46 (≥4 threshold met)."
METHOTREXATE,Blood pressure diastolic decreased,33,3.28,2.33,4.64,3.28,51.23,True,"METHOTREXATE was reported with 'Blood pressure diastolic decreased' in 33 cases. This combination occurs 3.28x more often than expected (95% CI: 2.33-4.64, entirely above 1, meaning the result is statistically significant). PRR=3.28 (≥2 threshold met), chi2=51.23 (≥4 threshold met)."
ASPIRIN,Product monitoring error,6,10.97,4.81,25.03,10.97,51.16,True,"ASPIRIN was reported with 'Product monitoring error' in 6 cases. This combination occurs 10.97x more often than expected (95% CI: 4.81-25.03, entirely above 1, meaning the result is statistically significant). PRR=10.97 (≥2 threshold met), chi2=51.16 (≥4 threshold met)."
DUPIXENT,Rosacea,26,3.77,2.55,5.58,3.77,50.98,True,"DUPIXENT was reported with 'Rosacea' in 26 cases. This combination occurs 3.77x more often than expected (95% CI: 2.55-5.58, entirely above 1, meaning the result is statistically significant). PRR=3.77 (≥2 threshold met), chi2=50.98 (≥4 threshold met)."
METHOTREXATE,Mycobacterial infection,13,5.91,3.39,10.28,5.91,50.94,True,"METHOTREXATE was reported with 'Mycobacterial infection' in 13 cases. This combination occurs 5.91x more often than expected (95% CI: 3.39-10.28, entirely above 1, meaning the result is statistically significant). PRR=5.91 (≥2 threshold met), chi2=50.94 (≥4 threshold met)."
ASPIRIN,Nephropathy,22,4.12,2.7,6.28,4.12,50.71,True,"ASPIRIN was reported with 'Nephropathy' in 22 cases. This combination occurs 4.12x more often than expected (95% CI: 2.7-6.28, entirely above 1, meaning the result is statistically significant). PRR=4.12 (≥2 threshold met), chi2=50.71 (≥4 threshold met)."
INFLIXIMAB,Dyschezia,14,5.54,3.25,9.42,5.54,50.61,True,"INFLIXIMAB was reported with 'Dyschezia' in 14 cases. This combination occurs 5.54x more often than expected (95% CI: 3.25-9.42, entirely above 1, meaning the result is statistically significant). PRR=5.54 (≥2 threshold met), chi2=50.61 (≥4 threshold met)."
ACETAMINOPHEN,Eyelid oedema,15,5.35,3.18,8.99,5.35,50.45,True,"ACETAMINOPHEN was reported with 'Eyelid oedema' in 15 cases. This combination occurs 5.35x more often than expected (95% CI: 3.18-8.99, entirely above 1, meaning the result is statistically significant). PRR=5.35 (≥2 threshold met), chi2=50.45 (≥4 threshold met)."
ASPIRIN,Bradyarrhythmia,10,7.11,3.78,13.37,7.1,50.42,True,"ASPIRIN was reported with 'Bradyarrhythmia' in 10 cases. This combination occurs 7.11x more often than expected (95% CI: 3.78-13.37, entirely above 1, meaning the result is statistically significant). PRR=7.1 (≥2 threshold met), chi2=50.42 (≥4 threshold met)."
RITUXIMAB,Epstein-Barr viraemia,9,7.81,3.98,15.29,7.81,50.42,True,"RITUXIMAB was reported with 'Epstein-Barr viraemia' in 9 cases. This combination occurs 7.81x more often than expected (95% CI: 3.98-15.29, entirely above 1, meaning the result is statistically significant). PRR=7.81 (≥2 threshold met), chi2=50.42 (≥4 threshold met)."
METHOTREXATE,Drug specific antibody,10,7.15,3.79,13.48,7.15,50.41,True,"METHOTREXATE was reported with 'Drug specific antibody' in 10 cases. This combination occurs 7.15x more often than expected (95% CI: 3.79-13.48, entirely above 1, meaning the result is statistically significant). PRR=7.15 (≥2 threshold met), chi2=50.41 (≥4 threshold met)."
METHOTREXATE,Amyloid arthropathy,26,3.72,2.52,5.49,3.72,50.34,True,"METHOTREXATE was reported with 'Amyloid arthropathy' in 26 cases. This combination occurs 3.72x more often than expected (95% CI: 2.52-5.49, entirely above 1, meaning the result is statistically significant). PRR=3.72 (≥2 threshold met), chi2=50.34 (≥4 threshold met)."
FOLIC ACID,Dermo-hypodermitis,8,8.5,4.18,17.32,8.5,50.32,True,"FOLIC ACID was reported with 'Dermo-hypodermitis' in 8 cases. This combination occurs 8.5x more often than expected (95% CI: 4.18-17.32, entirely above 1, meaning the result is statistically significant). PRR=8.5 (≥2 threshold met), chi2=50.32 (≥4 threshold met)."
PREDNISONE,Loss of therapeutic response,23,4.03,2.65,6.12,4.03,50.16,True,"PREDNISONE was reported with 'Loss of therapeutic response' in 23 cases. This combination occurs 4.03x more often than expected (95% CI: 2.65-6.12, entirely above 1, meaning the result is statistically significant). PRR=4.03 (≥2 threshold met), chi2=50.16 (≥4 threshold met)."
VITAMIN D3,Cleft palate,14,5.49,3.23,9.35,5.49,49.91,True,"VITAMIN D3 was reported with 'Cleft palate' in 14 cases. This combination occurs 5.49x more often than expected (95% CI: 3.23-9.35, entirely above 1, meaning the result is statistically significant). PRR=5.49 (≥2 threshold met), chi2=49.91 (≥4 threshold met)."
ASPIRIN,Eosinophil count abnormal,11,6.54,3.58,11.95,6.54,49.81,True,"ASPIRIN was reported with 'Eosinophil count abnormal' in 11 cases. This combination occurs 6.54x more often than expected (95% CI: 3.58-11.95, entirely above 1, meaning the result is statistically significant). PRR=6.54 (≥2 threshold met), chi2=49.81 (≥4 threshold met)."
METHOTREXATE,Hepatorenal syndrome,7,9.45,4.4,20.3,9.45,49.72,True,"METHOTREXATE was reported with 'Hepatorenal syndrome' in 7 cases. This combination occurs 9.45x more often than expected (95% CI: 4.4-20.3, entirely above 1, meaning the result is statistically significant). PRR=9.45 (≥2 threshold met), chi2=49.72 (≥4 threshold met)."
RITUXIMAB,Opportunistic infection,10,7.09,3.75,13.39,7.09,49.62,True,"RITUXIMAB was reported with 'Opportunistic infection' in 10 cases. This combination occurs 7.09x more often than expected (95% CI: 3.75-13.39, entirely above 1, meaning the result is statistically significant). PRR=7.09 (≥2 threshold met), chi2=49.62 (≥4 threshold met)."
ASPIRIN,Fractional exhaled nitric oxide increased,25,3.76,2.53,5.58,3.76,49.51,True,"ASPIRIN was reported with 'Fractional exhaled nitric oxide increased' in 25 cases. This combination occurs 3.76x more often than expected (95% CI: 2.53-5.58, entirely above 1, meaning the result is statistically significant). PRR=3.76 (≥2 threshold met), chi2=49.51 (≥4 threshold met)."
PREDNISONE,Scabies,10,7.2,3.78,13.71,7.2,49.49,True,"PREDNISONE was reported with 'Scabies' in 10 cases. This combination occurs 7.2x more often than expected (95% CI: 3.78-13.71, entirely above 1, meaning the result is statistically significant). PRR=7.2 (≥2 threshold met), chi2=49.49 (≥4 threshold met)."
FOLIC ACID,Health assessment questionnaire score increased,12,6.1,3.43,10.85,6.1,49.27,True,"FOLIC ACID was reported with 'Health assessment questionnaire score increased' in 12 cases. This combination occurs 6.1x more often than expected (95% CI: 3.43-10.85, entirely above 1, meaning the result is statistically significant). PRR=6.1 (≥2 threshold met), chi2=49.27 (≥4 threshold met)."
INFLIXIMAB,Growth retardation,7,9.25,4.34,19.74,9.25,49.2,True,"INFLIXIMAB was reported with 'Growth retardation' in 7 cases. This combination occurs 9.25x more often than expected (95% CI: 4.34-19.74, entirely above 1, meaning the result is statistically significant). PRR=9.25 (≥2 threshold met), chi2=49.2 (≥4 threshold met)."
RITUXIMAB,Cytomegalovirus gastrointestinal ulcer,5,12.68,5.06,31.74,12.68,49.05,True,"RITUXIMAB was reported with 'Cytomegalovirus gastrointestinal ulcer' in 5 cases. This combination occurs 12.68x more often than expected (95% CI: 5.06-31.74, entirely above 1, meaning the result is statistically significant). PRR=12.68 (≥2 threshold met), chi2=49.05 (≥4 threshold met)."
METHOTREXATE,Human herpesvirus 6 infection reactivation,5,12.47,5.01,31.08,12.47,48.65,True,"METHOTREXATE was reported with 'Human herpesvirus 6 infection reactivation' in 5 cases. This combination occurs 12.47x more often than expected (95% CI: 5.01-31.08, entirely above 1, meaning the result is statistically significant). PRR=12.47 (≥2 threshold met), chi2=48.65 (≥4 threshold met)."
METHOTREXATE,Spinal stenosis,28,3.49,2.4,5.08,3.49,48.59,True,"METHOTREXATE was reported with 'Spinal stenosis' in 28 cases. This combination occurs 3.49x more often than expected (95% CI: 2.4-5.08, entirely above 1, meaning the result is statistically significant). PRR=3.49 (≥2 threshold met), chi2=48.59 (≥4 threshold met)."
ASPIRIN,Restrictive pulmonary disease,15,5.12,3.07,8.56,5.12,48.34,True,"ASPIRIN was reported with 'Restrictive pulmonary disease' in 15 cases. This combination occurs 5.12x more often than expected (95% CI: 3.07-8.56, entirely above 1, meaning the result is statistically significant). PRR=5.12 (≥2 threshold met), chi2=48.34 (≥4 threshold met)."
TYMLOS,Blood urine present,26,3.62,2.45,5.33,3.62,48.33,True,"TYMLOS was reported with 'Blood urine present' in 26 cases. This combination occurs 3.62x more often than expected (95% CI: 2.45-5.33, entirely above 1, meaning the result is statistically significant). PRR=3.62 (≥2 threshold met), chi2=48.33 (≥4 threshold met)."
FOLIC ACID,Sickle cell anaemia with crisis,6,10.42,4.57,23.8,10.42,48.02,True,"FOLIC ACID was reported with 'Sickle cell anaemia with crisis' in 6 cases. This combination occurs 10.42x more often than expected (95% CI: 4.57-23.8, entirely above 1, meaning the result is statistically significant). PRR=10.42 (≥2 threshold met), chi2=48.02 (≥4 threshold met)."
DUPIXENT,Injection site scar,12,6.08,3.4,10.9,6.08,47.99,True,"DUPIXENT was reported with 'Injection site scar' in 12 cases. This combination occurs 6.08x more often than expected (95% CI: 3.4-10.9, entirely above 1, meaning the result is statistically significant). PRR=6.08 (≥2 threshold met), chi2=47.99 (≥4 threshold met)."
METHOTREXATE,Granuloma,11,6.38,3.49,11.66,6.37,47.78,True,"METHOTREXATE was reported with 'Granuloma' in 11 cases. This combination occurs 6.38x more often than expected (95% CI: 3.49-11.66, entirely above 1, meaning the result is statistically significant). PRR=6.37 (≥2 threshold met), chi2=47.78 (≥4 threshold met)."
ASPIRIN,Mycobacterium ulcerans infection,6,10.32,4.53,23.52,10.32,47.71,True,"ASPIRIN was reported with 'Mycobacterium ulcerans infection' in 6 cases. This combination occurs 10.32x more often than expected (95% CI: 4.53-23.52, entirely above 1, meaning the result is statistically significant). PRR=10.32 (≥2 threshold met), chi2=47.71 (≥4 threshold met)."
ASPIRIN,Carotid artery stenosis,8,8.12,3.99,16.49,8.12,47.7,True,"ASPIRIN was reported with 'Carotid artery stenosis' in 8 cases. This combination occurs 8.12x more often than expected (95% CI: 3.99-16.49, entirely above 1, meaning the result is statistically significant). PRR=8.12 (≥2 threshold met), chi2=47.7 (≥4 threshold met)."
DUPIXENT,Skin hypertrophy,12,6.05,3.38,10.84,6.05,47.66,True,"DUPIXENT was reported with 'Skin hypertrophy' in 12 cases. This combination occurs 6.05x more often than expected (95% CI: 3.38-10.84, entirely above 1, meaning the result is statistically significant). PRR=6.05 (≥2 threshold met), chi2=47.66 (≥4 threshold met)."
PREDNISONE,Strongyloidiasis,15,5.16,3.07,8.68,5.16,47.57,True,"PREDNISONE was reported with 'Strongyloidiasis' in 15 cases. This combination occurs 5.16x more often than expected (95% CI: 3.07-8.68, entirely above 1, meaning the result is statistically significant). PRR=5.16 (≥2 threshold met), chi2=47.57 (≥4 threshold met)."
PREDNISONE,Bone marrow eosinophilic leukocyte count increased,6,10.76,4.62,25.07,10.76,47.51,True,"PREDNISONE was reported with 'Bone marrow eosinophilic leukocyte count increased' in 6 cases. This combination occurs 10.76x more often than expected (95% CI: 4.62-25.07, entirely above 1, meaning the result is statistically significant). PRR=10.76 (≥2 threshold met), chi2=47.51 (≥4 threshold met)."
RITUXIMAB,Jugular vein thrombosis,6,10.41,4.53,23.9,10.41,47.29,True,"RITUXIMAB was reported with 'Jugular vein thrombosis' in 6 cases. This combination occurs 10.41x more often than expected (95% CI: 4.53-23.9, entirely above 1, meaning the result is statistically significant). PRR=10.41 (≥2 threshold met), chi2=47.29 (≥4 threshold met)."
PREDNISONE,Papilloma viral infection,9,7.55,3.83,14.9,7.55,47.24,True,"PREDNISONE was reported with 'Papilloma viral infection' in 9 cases. This combination occurs 7.55x more often than expected (95% CI: 3.83-14.9, entirely above 1, meaning the result is statistically significant). PRR=7.55 (≥2 threshold met), chi2=47.24 (≥4 threshold met)."
METHOTREXATE,Extradural haematoma,9,7.36,3.77,14.38,7.36,47.11,True,"METHOTREXATE was reported with 'Extradural haematoma' in 9 cases. This combination occurs 7.36x more often than expected (95% CI: 3.77-14.38, entirely above 1, meaning the result is statistically significant). PRR=7.36 (≥2 threshold met), chi2=47.11 (≥4 threshold met)."
ASPIRIN,Amyloid related imaging abnormality-oedema/effusion,13,5.55,3.2,9.64,5.55,47.02,True,"ASPIRIN was reported with 'Amyloid related imaging abnormality-oedema/effusion' in 13 cases. This combination occurs 5.55x more often than expected (95% CI: 3.2-9.64, entirely above 1, meaning the result is statistically significant). PRR=5.55 (≥2 threshold met), chi2=47.02 (≥4 threshold met)."
METHOTREXATE,Bone marrow failure,28,3.43,2.36,4.99,3.43,47.01,True,"METHOTREXATE was reported with 'Bone marrow failure' in 28 cases. This combination occurs 3.43x more often than expected (95% CI: 2.36-4.99, entirely above 1, meaning the result is statistically significant). PRR=3.43 (≥2 threshold met), chi2=47.01 (≥4 threshold met)."
PREDNISONE,Mucosal ulceration,7,9.28,4.26,20.19,9.28,46.93,True,"PREDNISONE was reported with 'Mucosal ulceration' in 7 cases. This combination occurs 9.28x more often than expected (95% CI: 4.26-20.19, entirely above 1, meaning the result is statistically significant). PRR=9.28 (≥2 threshold met), chi2=46.93 (≥4 threshold met)."
ASPIRIN,Blood loss anaemia,14,5.26,3.09,8.95,5.26,46.91,True,"ASPIRIN was reported with 'Blood loss anaemia' in 14 cases. This combination occurs 5.26x more often than expected (95% CI: 3.09-8.95, entirely above 1, meaning the result is statistically significant). PRR=5.26 (≥2 threshold met), chi2=46.91 (≥4 threshold met)."
INFLIXIMAB,Spinal instability,5,11.86,4.81,29.25,11.86,46.9,True,"INFLIXIMAB was reported with 'Spinal instability' in 5 cases. This combination occurs 11.86x more often than expected (95% CI: 4.81-29.25, entirely above 1, meaning the result is statistically significant). PRR=11.86 (≥2 threshold met), chi2=46.9 (≥4 threshold met)."
DUPIXENT,Eczema herpeticum,6,10.54,4.54,24.45,10.53,46.77,True,"DUPIXENT was reported with 'Eczema herpeticum' in 6 cases. This combination occurs 10.54x more often than expected (95% CI: 4.54-24.45, entirely above 1, meaning the result is statistically significant). PRR=10.53 (≥2 threshold met), chi2=46.77 (≥4 threshold met)."
RITUXIMAB,Tracheal stenosis,6,10.27,4.48,23.58,10.27,46.59,True,"RITUXIMAB was reported with 'Tracheal stenosis' in 6 cases. This combination occurs 10.27x more often than expected (95% CI: 4.48-23.58, entirely above 1, meaning the result is statistically significant). PRR=10.27 (≥2 threshold met), chi2=46.59 (≥4 threshold met)."
ASPIRIN,Myoglobin blood increased,25,3.63,2.44,5.39,3.63,46.58,True,"ASPIRIN was reported with 'Myoglobin blood increased' in 25 cases. This combination occurs 3.63x more often than expected (95% CI: 2.44-5.39, entirely above 1, meaning the result is statistically significant). PRR=3.63 (≥2 threshold met), chi2=46.58 (≥4 threshold met)."
PREDNISONE,Metastases to meninges,14,5.33,3.11,9.14,5.33,46.58,True,"PREDNISONE was reported with 'Metastases to meninges' in 14 cases. This combination occurs 5.33x more often than expected (95% CI: 3.11-9.14, entirely above 1, meaning the result is statistically significant). PRR=5.33 (≥2 threshold met), chi2=46.58 (≥4 threshold met)."
ASPIRIN,Sepsis neonatal,5,11.86,4.79,29.33,11.86,46.56,True,"ASPIRIN was reported with 'Sepsis neonatal' in 5 cases. This combination occurs 11.86x more often than expected (95% CI: 4.79-29.33, entirely above 1, meaning the result is statistically significant). PRR=11.86 (≥2 threshold met), chi2=46.56 (≥4 threshold met)."
METHOTREXATE,Portal hypertensive gastropathy,6,10.15,4.44,23.22,10.15,46.31,True,"METHOTREXATE was reported with 'Portal hypertensive gastropathy' in 6 cases. This combination occurs 10.15x more often than expected (95% CI: 4.44-23.22, entirely above 1, meaning the result is statistically significant). PRR=10.15 (≥2 threshold met), chi2=46.31 (≥4 threshold met)."
PREDNISONE,Renal tubular injury,16,4.83,2.92,7.98,4.83,46.13,True,"PREDNISONE was reported with 'Renal tubular injury' in 16 cases. This combination occurs 4.83x more often than expected (95% CI: 2.92-7.98, entirely above 1, meaning the result is statistically significant). PRR=4.83 (≥2 threshold met), chi2=46.13 (≥4 threshold met)."
ASPIRIN,Carotid artery thrombosis,32,3.14,2.22,4.46,3.14,45.93,True,"ASPIRIN was reported with 'Carotid artery thrombosis' in 32 cases. This combination occurs 3.14x more often than expected (95% CI: 2.22-4.46, entirely above 1, meaning the result is statistically significant). PRR=3.14 (≥2 threshold met), chi2=45.93 (≥4 threshold met)."
DUPIXENT,Infection parasitic,9,7.31,3.72,14.4,7.31,45.65,True,"DUPIXENT was reported with 'Infection parasitic' in 9 cases. This combination occurs 7.31x more often than expected (95% CI: 3.72-14.4, entirely above 1, meaning the result is statistically significant). PRR=7.31 (≥2 threshold met), chi2=45.65 (≥4 threshold met)."
METHOTREXATE,Epstein-Barr virus infection,18,4.38,2.74,7.0,4.38,45.58,True,"METHOTREXATE was reported with 'Epstein-Barr virus infection' in 18 cases. This combination occurs 4.38x more often than expected (95% CI: 2.74-7.0, entirely above 1, meaning the result is statistically significant). PRR=4.38 (≥2 threshold met), chi2=45.58 (≥4 threshold met)."
RITUXIMAB,COVID-19 pneumonia,33,3.09,2.19,4.36,3.09,45.51,True,"RITUXIMAB was reported with 'COVID-19 pneumonia' in 33 cases. This combination occurs 3.09x more often than expected (95% CI: 2.19-4.36, entirely above 1, meaning the result is statistically significant). PRR=3.09 (≥2 threshold met), chi2=45.51 (≥4 threshold met)."
ASPIRIN,Oesophageal stenosis,8,7.8,3.84,15.84,7.8,45.4,True,"ASPIRIN was reported with 'Oesophageal stenosis' in 8 cases. This combination occurs 7.8x more often than expected (95% CI: 3.84-15.84, entirely above 1, meaning the result is statistically significant). PRR=7.8 (≥2 threshold met), chi2=45.4 (≥4 threshold met)."
RITUXIMAB,Infestation,5,11.77,4.71,29.38,11.77,45.23,True,"RITUXIMAB was reported with 'Infestation' in 5 cases. This combination occurs 11.77x more often than expected (95% CI: 4.71-29.38, entirely above 1, meaning the result is statistically significant). PRR=11.77 (≥2 threshold met), chi2=45.23 (≥4 threshold met)."
PREDNISONE,Drug level above therapeutic,21,3.99,2.58,6.18,3.99,45.12,True,"PREDNISONE was reported with 'Drug level above therapeutic' in 21 cases. This combination occurs 3.99x more often than expected (95% CI: 2.58-6.18, entirely above 1, meaning the result is statistically significant). PRR=3.99 (≥2 threshold met), chi2=45.12 (≥4 threshold met)."
ASPIRIN,Polycythaemia vera,6,9.84,4.32,22.4,9.84,45.12,True,"ASPIRIN was reported with 'Polycythaemia vera' in 6 cases. This combination occurs 9.84x more often than expected (95% CI: 4.32-22.4, entirely above 1, meaning the result is statistically significant). PRR=9.84 (≥2 threshold met), chi2=45.12 (≥4 threshold met)."
METHOTREXATE,Adenocarcinoma of colon,8,7.8,3.83,15.88,7.8,45.03,True,"METHOTREXATE was reported with 'Adenocarcinoma of colon' in 8 cases. This combination occurs 7.8x more often than expected (95% CI: 3.83-15.88, entirely above 1, meaning the result is statistically significant). PRR=7.8 (≥2 threshold met), chi2=45.03 (≥4 threshold met)."
PREDNISONE,Lack of concomitant drug effect,5,12.03,4.74,30.57,12.03,44.69,True,"PREDNISONE was reported with 'Lack of concomitant drug effect' in 5 cases. This combination occurs 12.03x more often than expected (95% CI: 4.74-30.57, entirely above 1, meaning the result is statistically significant). PRR=12.03 (≥2 threshold met), chi2=44.69 (≥4 threshold met)."
ASPIRIN,Atrioventricular block complete,13,5.36,3.08,9.3,5.36,44.68,True,"ASPIRIN was reported with 'Atrioventricular block complete' in 13 cases. This combination occurs 5.36x more often than expected (95% CI: 3.08-9.3, entirely above 1, meaning the result is statistically significant). PRR=5.36 (≥2 threshold met), chi2=44.68 (≥4 threshold met)."
PREDNISONE,Visceral leishmaniasis,7,8.89,4.09,19.32,8.89,44.67,True,"PREDNISONE was reported with 'Visceral leishmaniasis' in 7 cases. This combination occurs 8.89x more often than expected (95% CI: 4.09-19.32, entirely above 1, meaning the result is statistically significant). PRR=8.89 (≥2 threshold met), chi2=44.67 (≥4 threshold met)."
RITUXIMAB,Burkitt's lymphoma,6,9.89,4.31,22.67,9.89,44.58,True,"RITUXIMAB was reported with 'Burkitt's lymphoma' in 6 cases. This combination occurs 9.89x more often than expected (95% CI: 4.31-22.67, entirely above 1, meaning the result is statistically significant). PRR=9.89 (≥2 threshold met), chi2=44.58 (≥4 threshold met)."
DUPIXENT,Skin depigmentation,10,6.6,3.48,12.52,6.6,44.52,True,"DUPIXENT was reported with 'Skin depigmentation' in 10 cases. This combination occurs 6.6x more often than expected (95% CI: 3.48-12.52, entirely above 1, meaning the result is statistically significant). PRR=6.6 (≥2 threshold met), chi2=44.52 (≥4 threshold met)."
RITUXIMAB,Myelitis,7,8.62,4.01,18.53,8.62,44.28,True,"RITUXIMAB was reported with 'Myelitis' in 7 cases. This combination occurs 8.62x more often than expected (95% CI: 4.01-18.53, entirely above 1, meaning the result is statistically significant). PRR=8.62 (≥2 threshold met), chi2=44.28 (≥4 threshold met)."
TYMLOS,Liquid product physical issue,18,4.27,2.68,6.81,4.27,44.12,True,"TYMLOS was reported with 'Liquid product physical issue' in 18 cases. This combination occurs 4.27x more often than expected (95% CI: 2.68-6.81, entirely above 1, meaning the result is statistically significant). PRR=4.27 (≥2 threshold met), chi2=44.12 (≥4 threshold met)."
ACETAMINOPHEN,Traumatic lung injury,13,5.38,3.08,9.39,5.38,44.02,True,"ACETAMINOPHEN was reported with 'Traumatic lung injury' in 13 cases. This combination occurs 5.38x more often than expected (95% CI: 3.08-9.39, entirely above 1, meaning the result is statistically significant). PRR=5.38 (≥2 threshold met), chi2=44.02 (≥4 threshold met)."
RITUXIMAB,Blood immunoglobulin A decreased,10,6.46,3.43,12.19,6.46,44.01,True,"RITUXIMAB was reported with 'Blood immunoglobulin A decreased' in 10 cases. This combination occurs 6.46x more often than expected (95% CI: 3.43-12.19, entirely above 1, meaning the result is statistically significant). PRR=6.46 (≥2 threshold met), chi2=44.01 (≥4 threshold met)."
METHOTREXATE,Orchitis,6,9.71,4.25,22.17,9.71,43.95,True,"METHOTREXATE was reported with 'Orchitis' in 6 cases. This combination occurs 9.71x more often than expected (95% CI: 4.25-22.17, entirely above 1, meaning the result is statistically significant). PRR=9.71 (≥2 threshold met), chi2=43.95 (≥4 threshold met)."
INFLIXIMAB,Juvenile idiopathic arthritis,9,6.87,3.53,13.35,6.87,43.61,True,"INFLIXIMAB was reported with 'Juvenile idiopathic arthritis' in 9 cases. This combination occurs 6.87x more often than expected (95% CI: 3.53-13.35, entirely above 1, meaning the result is statistically significant). PRR=6.87 (≥2 threshold met), chi2=43.61 (≥4 threshold met)."
FOLIC ACID,Bone density increased,9,6.89,3.54,13.43,6.89,43.48,True,"FOLIC ACID was reported with 'Bone density increased' in 9 cases. This combination occurs 6.89x more often than expected (95% CI: 3.54-13.43, entirely above 1, meaning the result is statistically significant). PRR=6.89 (≥2 threshold met), chi2=43.48 (≥4 threshold met)."
ASPIRIN,Myelopathy,9,6.87,3.53,13.37,6.87,43.42,True,"ASPIRIN was reported with 'Myelopathy' in 9 cases. This combination occurs 6.87x more often than expected (95% CI: 3.53-13.37, entirely above 1, meaning the result is statistically significant). PRR=6.87 (≥2 threshold met), chi2=43.42 (≥4 threshold met)."
METHOTREXATE,Antithrombin III decreased,6,9.6,4.2,21.93,9.6,43.39,True,"METHOTREXATE was reported with 'Antithrombin III decreased' in 6 cases. This combination occurs 9.6x more often than expected (95% CI: 4.2-21.93, entirely above 1, meaning the result is statistically significant). PRR=9.6 (≥2 threshold met), chi2=43.39 (≥4 threshold met)."
RITUXIMAB,Kidney fibrosis,6,9.65,4.21,22.1,9.65,43.32,True,"RITUXIMAB was reported with 'Kidney fibrosis' in 6 cases. This combination occurs 9.65x more often than expected (95% CI: 4.21-22.1, entirely above 1, meaning the result is statistically significant). PRR=9.65 (≥2 threshold met), chi2=43.32 (≥4 threshold met)."
ASPIRIN,Melaena,30,3.15,2.19,4.52,3.15,43.17,True,"ASPIRIN was reported with 'Melaena' in 30 cases. This combination occurs 3.15x more often than expected (95% CI: 2.19-4.52, entirely above 1, meaning the result is statistically significant). PRR=3.15 (≥2 threshold met), chi2=43.17 (≥4 threshold met)."
