drug,event,count,ror,ror_ci_lower,ror_ci_upper,prr,chi2,signal_flagged,rationale
DUPIXENT,Dermatitis,381,20.77,18.6,23.2,20.7,5901.26,True,"DUPIXENT was reported with 'Dermatitis' in 381 cases. This combination occurs 20.77x more often than expected (95% CI: 18.6-23.2, entirely above 1, meaning the result is statistically significant). PRR=20.7 (≥2 threshold met), chi2=5901.26 (≥4 threshold met)."
DUPIXENT,Sleep disorder due to a general medical condition,902,8.44,7.88,9.03,8.37,5400.01,True,"DUPIXENT was reported with 'Sleep disorder due to a general medical condition' in 902 cases. This combination occurs 8.44x more often than expected (95% CI: 7.88-9.03, entirely above 1, meaning the result is statistically significant). PRR=8.37 (≥2 threshold met), chi2=5400.01 (≥4 threshold met)."
TYMLOS,Product dose omission issue,1561,5.47,5.2,5.76,5.33,5376.84,True,"TYMLOS was reported with 'Product dose omission issue' in 1561 cases. This combination occurs 5.47x more often than expected (95% CI: 5.2-5.76, entirely above 1, meaning the result is statistically significant). PRR=5.33 (≥2 threshold met), chi2=5376.84 (≥4 threshold met)."
TYMLOS,Wrong technique in product usage process,568,11.86,10.89,12.91,11.73,5271.37,True,"TYMLOS was reported with 'Wrong technique in product usage process' in 568 cases. This combination occurs 11.86x more often than expected (95% CI: 10.89-12.91, entirely above 1, meaning the result is statistically significant). PRR=11.73 (≥2 threshold met), chi2=5271.37 (≥4 threshold met)."
DUPIXENT,Skin swelling,232,30.61,26.41,35.47,30.54,5057.91,True,"DUPIXENT was reported with 'Skin swelling' in 232 cases. This combination occurs 30.61x more often than expected (95% CI: 26.41-35.47, entirely above 1, meaning the result is statistically significant). PRR=30.54 (≥2 threshold met), chi2=5057.91 (≥4 threshold met)."
TYMLOS,Nausea,2154,4.2,4.02,4.39,4.06,4920.13,True,"TYMLOS was reported with 'Nausea' in 2154 cases. This combination occurs 4.2x more often than expected (95% CI: 4.02-4.39, entirely above 1, meaning the result is statistically significant). PRR=4.06 (≥2 threshold met), chi2=4920.13 (≥4 threshold met)."
ACETAMINOPHEN,Toxicity to various agents,967,7.12,6.67,7.6,7.05,4711.46,True,"ACETAMINOPHEN was reported with 'Toxicity to various agents' in 967 cases. This combination occurs 7.12x more often than expected (95% CI: 6.67-7.6, entirely above 1, meaning the result is statistically significant). PRR=7.05 (≥2 threshold met), chi2=4711.46 (≥4 threshold met)."
DUPIXENT,Incorrect dose administered,952,6.91,6.47,7.38,6.85,4455.09,True,"DUPIXENT was reported with 'Incorrect dose administered' in 952 cases. This combination occurs 6.91x more often than expected (95% CI: 6.47-7.38, entirely above 1, meaning the result is statistically significant). PRR=6.85 (≥2 threshold met), chi2=4455.09 (≥4 threshold met)."
DUPIXENT,Inappropriate schedule of product administration,1445,4.97,4.71,5.24,4.91,4302.46,True,"DUPIXENT was reported with 'Inappropriate schedule of product administration' in 1445 cases. This combination occurs 4.97x more often than expected (95% CI: 4.71-5.24, entirely above 1, meaning the result is statistically significant). PRR=4.91 (≥2 threshold met), chi2=4302.46 (≥4 threshold met)."
TYMLOS,Product administered at inappropriate site,156,33.43,28.21,39.62,33.33,4194.62,True,"TYMLOS was reported with 'Product administered at inappropriate site' in 156 cases. This combination occurs 33.43x more often than expected (95% CI: 28.21-39.62, entirely above 1, meaning the result is statistically significant). PRR=33.33 (≥2 threshold met), chi2=4194.62 (≥4 threshold met)."
