original_name,rxcui,normalized_name,status,match_type,confidence,stripped_name
METHOTREXATE,6851.0,methotrexate,MAPPED,,,
ACTEMRA,895761.0,Actemra,MAPPED,,,
SULFASALAZINE,9524.0,sulfasalazine,MAPPED,,,
PREDNISONE,8640.0,prednisone,MAPPED,,,
RITUXIMAB,121191.0,rituximab,MAPPED,,,
FOLIC ACID,4511.0,folic acid,MAPPED,,,
DESOXIMETASONE,3255.0,desoximetasone,MAPPED,,,
ORENCIA,616011.0,Orencia,MAPPED,,,
LEFLUNOMIDE,27169.0,leflunomide,MAPPED,,,
ENBREL,216891.0,Enbrel,MAPPED,,,
CETIRIZINE HYDROCHLORIDE,203150.0,cetirizine hydrochloride,MAPPED,,,
INFLECTRA,1790542.0,Inflectra,MAPPED,,,
